,match_id,match_date,sard_rank,sard_wr,sard_win,sard_team,t1_avg_rank,t2_avg_rank,t1_med_rank,t2_med_rank,t1_best_rank,t2_best_rank,t1_lowest_rank,t2_lowest_rank,t1_avg_role_note,t2_avg_role_note,t1_avg_wr,t2_avg_wr,t1_med_wr,t2_med_wr,t1_best_wr,t2_best_wr,t1_lowest_wr,t2_lowest_wr
0,KR_5954544743,2022-06-06 01:36:17.101,3.5,53.398058252427184,True,2,3.16,2.85,2.8000000000000003,3.5,6.0,3.5,1.75,1.75,12.6,13.4,50.961200816248265,55.96007937117055,51.66666666666667,54.54545454545454,60.71428571428571,69.56521739130434,35.714285714285715,40.625
1,KR_5954484698,2022-06-06 00:48:29.012,3.5,53.398058252427184,True,2,2.46,2.9200000000000004,2.0,2.8,3.5,3.5,2.0,2.0,16.2,17.2,52.628677309485816,50.00962317187113,52.27272727272727,51.31578947368421,54.50346420323326,53.503184713375795,51.46666666666667,40.74074074074074
2,KR_5954483881,2022-06-06 00:12:02.626,3.5,53.398058252427184,False,1,2.8600000000000003,2.96,2.8,2.8,3.5,3.2,2.0,2.8,14.0,16.0,53.459128749243256,51.42166794610968,53.333333333333336,51.22655122655123,56.72131147540984,52.53623188405797,51.461988304093566,50.44642857142857
3,KR_5954522542,2022-06-05 23:40:59.078,3.5,53.398058252427184,True,2,2.32,2.78,2.0,3.2,2.8,3.5,2.0,2.0,11.6,12.4,48.43276913715003,50.40106618270104,48.57142857142857,54.372623574144484,51.79340028694405,55.158730158730165,44.51219512195122,34.146341463414636
4,KR_5954501784,2022-06-05 23:01:19.530,3.5,53.398058252427184,False,2,2.16,2.62,2.0,2.8,2.8,3.5,2.0,2.0,15.0,14.0,49.6940464719206,48.8376220922312,49.09090909090909,51.01289134438306,54.736842105263165,54.421768707483,45.76271186440678,34.375
5,KR_5954510319,2022-06-05 22:14:48.022,3.5,53.398058252427184,True,2,2.4,3.0200000000000005,2.0,2.8,3.2,3.5,2.0,2.8,17.6,17.6,51.606544845263215,51.772205084237704,51.13636363636363,53.398058252427184,55.3125,54.679802955665025,47.93187347931874,45.32374100719424
6,KR_5954448724,2022-06-05 21:47:45.299,3.5,53.398058252427184,False,2,3.0200000000000005,2.46,2.8,2.0,3.5,3.5,2.8,2.0,12.0,10.4,54.65391491694619,51.055777955588745,54.679802955665025,51.21951219512195,64.61538461538461,53.398058252427184,47.286821705426355,48.78048780487805
7,KR_5954387318,2022-06-05 21:02:31.209,3.5,53.398058252427184,True,2,3.29,2.575,3.5,2.4000000000000004,3.5,3.5,2.4499999999999997,2.0,16.4,17.75,51.52908703852099,50.23032788778774,50.0,52.0721634545718,67.56756756756756,57.971014492753625,34.92063492063492,38.80597014925373
8,KR_5954384649,2022-06-05 20:26:52.966,3.5,53.398058252427184,False,1,3.0800000000000005,3.06,2.8000000000000003,3.5,3.5,3.5,2.8,2.0,13.2,15.4,49.6497791641312,56.20055619834293,51.42857142857142,54.41176470588235,62.5,75.75757575757575,34.54545454545455,43.75
9,KR_5954371590,2022-06-05 19:55:17.649,3.5,53.398058252427184,False,2,2.7199999999999998,2.62,2.8,2.8,3.2,3.5,2.0,2.0,15.0,13.2,53.59824158674056,51.774903074150146,55.00000000000001,51.69491525423729,56.395348837209305,55.072463768115945,49.390243902439025,47.93388429752066
10,KR_5954346874,2022-06-05 19:22:38.832,3.5,53.398058252427184,False,1,3.325,2.54,3.5,2.0,3.5,3.5,2.8,2.0,12.5,14.0,49.03224548680157,52.936133981375505,51.397824306936485,56.16438356164384,60.0,60.0,33.33333333333333,45.45454545454545
